title,abstractText,source,word_count
augmenting research methods foundation models generative ai,deep learning dl research made remarkable progress recent years natural language processing image generation made leap computer science journals opensource communities commercial services pretrained dl models built massive datasets also known foundation models gpt3 bert led way democratizing artificial intelligence ai however potential use research tools overshadowed fears technology misused argued ai threatens scholarship suggesting replace human collaborators others argued ai creates opportunities suggesting aihuman collaborations could speed research taking constructive stance editorial outlines ways use foundation models advance science argue dl tools used create realistic experiments make specific types quantitative studies feasible safer synthetic rather real data posit use generative ai foundation models tool information systems research early stages still proceed cautiously develop clear guidelines using foundation models generative ai benefits science scholarship far outweigh risks,editorial.json,127
special issue soco 2022 new trends soft computing application industrial environmental problems,eight papers included special issue represent selection extended contributions presented 17th international conference soft computing models industrial environmental applications soco 2022 held salamanca spain september 6th8th 2022 organized bisite group university salamanca soco 2022 international conference represents collection set computational techniques machine learning computer science engineering disciplines investigate simulate analyse complex issues phenomena special issue aimed practitioners researchers postgraduate students engaged developing applying advanced intelligent systems principles solve realworld problems mentioned fields,editorial.json,72
computational models cognition humanautomated vehicle interaction stateoftheart future directions,discuss stateoftheart future directions development evaluation application computational cognitive models humanautomated vehicle interaction capabilities automated vehicles rapidly increasing changing human interaction around vehicle yet time fully automated vehicles require human interaction available therefore systems needed human vehicle interact together discuss computational cognitive models describe predict andor anticipate human behavior thought play crucial role regard research comes many different disciplines including cognitive science humancomputer interaction human factors transportation research artificial intelligence special issue brings together stateoftheart research fields identify four broader directions future research 1 continue allen newells research agenda cognitive modeling apply field humanautomated vehicle interaction 2 move isolated theoryslicing integrated theories 3 consider cognitive models analysis interaction use embedded systems 4 move models mostly describe models predict,editorial.json,118
special issue soco 2021 new trends soft computing application industrial environmental problems,seven papers included special issue represent selection extended contributions presented 16th international conference soft computing models industrial environmental applications soco 2021 held bilbao spain september 22nd24th 2021 organized bisite group university deusto soco 2021 international conference represents collection set computational techniques machine learning computer science engineering disciplines investigate simulate analyse complex issues phenomena special issue aimed practitioners researchers postgraduate students engaged developing applying advanced intelligent systems principles solve realworld problems mentioned fields,editorial.json,72
biomedical informatics state art challenges opportunities,biomedical informatics considered multidisciplinary research educational field situated intersection computational sciences including computer science data science mathematics statistics biology medicine recent years advances field biomedical informatics current article highlights interesting stateoftheart research outcomes fields include research outcomes areas like computational biology medicine ii explainable artificial intelligence xai biomedical research clinical practice iii machine learning including deep learning methods application bioinformatics healthcare iv imaging informatics well v medical statistics data science moreover current article also discusses existing challenges potential future directions research areas advance fields biomedical informatics,editorial.json,86
special issue infodemics,editorial explore urgent challenges created rise infodemics term used describe epidemic spread fake news misinformation disinformation social networks initially associated covid19 pandemic issue drawn significant attention various academic fields including computer science artificial intelligence mathematics physics biology sociology psychology among others special issue dedicated advancing infodemics research across various academic domains selected papers include relevant contributions advancing state art area ranging network analysis identifying influential nodes communities networks language processing text classification filtering relevant messages within extensive corpora,editorial.json,78
foundations deep learning introduction special issue,deep learning approaches mind brain behavior raise new philosophical methodological questions nature artificial intelligence ai relationship biological cognitive systems articles special issue combine insights results methodologies philosophy psychology ai neuroscience linguistics cognitive science generally explore questions including relation deep learning models brain testability transparency explanatory power deep learning models abilities inductive reasoning language processing semantic understanding engaging foundational questions special issue whole contributes illuminate deep learning illustrating need fruitfulness interdisciplinary perspectives cognitive systems research,editorial.json,74
witnessing iteration social change,first thought iteration seems banal repeating existing nothing changing special issue shows era obsessed new often repetition old creates social change iteration fosters persuasion affords opportunities critical creative engagement meaning values knowledge invites collaboration though apparent simplicity often belies tremendous amount individual collective labour involved practices iteration repetition existing however iteration also mechanism reproducing status quo pervasiveness banality naturalises power mimetic qualities shrink spaces critical distance care editors special issue brought together delightful fascinating diversity articles focussed iteration cultural production digital age hop across geographies examine lockdown diaries artists books socialist memes fake news design social media platforms artificial intelligence activism film social media forum moderation news website reader comments iterating collection whole across many disciplines commitment theorising empirical evidence explaining critique providing pathways praxis characteristics special issue many concepts arguments puts forward make collection work exceptionally rich material seeing iteration shapes world live today well world want preface take media sociology approach show iteration usefully understood collaborative communication change see understanding iteration whose ascendancy related ascendancy computer science baked form communication technologiesand thus shaping kinds iteration possible use technologies understanding also prompts us focus connection iteration social change explore works analytically slow practice iteration show communication practice transmission transmission practice constituted cognate communication practicesthe reception evaluation production knowledgein visibility persuasion key latter parts preface illustrate example witnessing iteration highstakes nature witnessing make canary coalmine generally mediated communication digital age show breaking witnessing practice various parts allows us see power enters inflects iterated whenand thinking critically iteration unequal power relations praxis preface suggests onemuch line rest special issueof explaining iteration might move grassroots towards goals,editorial.json,265
editorial special issue russian research cybersecurity,special issue covers works russian researchers cybersecurity fundamental applied information security problems tackling computer network security well development analysis hardware software security tools provide 12 selected papers different topics within abovedescribed scope would like make special mention invited paper undocumented 86 instructions control cpu microarchitecture level modern intel processors introduces two undocumented 86 architecture instructions intended read write intel processors microcode data,editorial.json,62
preface special issue k12 ai education,widely recognized ai beginning profoundly impact society around globe developments introducing new opportunities presenting new risks fundamentally reshaping current future workforce must answer critically important questions prepare k12 students aipermeated future k12 students conceive ai need know effective consumers ai technologies competencies k12 students need acquire prepared workplaces humanai teaming norm future knowledge workers including limited stem need learn primary secondary school set stage careers doubt require ability effectively interact ai tools k12 education best prepare future ai developers engineers researchers special issue explores emerging field k12 ai education research,editorial.json,90
going statistical computing mathematical statistics collaborative data science,field statistical computing rapidly developing evolving shifting away formerly siloed landscape mathematics statistics computer science recent advancements statistical computing largely characterized fusing worlds namely programming software development applied statistics merging new exciting ways numerous drivers behind advancement including open movement encompassing development science access advent data science field collaborative problemsolving well practicealtering advances subfields artificial intelligence machine learning bayesian estimation paper trace shift modern statistical computing performed recently emerged discussion points future boundless potential field,editorial.json,75
introduction special issue visualization applied software engineering,software visualization broad research area whose general goal enhance promote theory realization evaluation approaches visually encode analyze software systems including software development practices evolution structure software runtime behavior software visualization inherently interdisciplinary drawing theories techniques information visualization computer graphics applying software engineering domain special issue software visualization aims bring together community researchers software engineering information visualization computer graphics humancomputer interaction data science discuss theoretical foundations algorithms techniques tools applications related software visualization special issue received 17 submissions 6 accepted publication ie acceptance rate 353 amongst accepted papers three correspond extended versions papers published ieee working conference software visualization vissoft 2021,editorial.json,100
introduction,book learn mathematical models biological networks built analysis models help understand systemlevel properties networks book introduce language systems biology needs spoken among biologists physicists computer scientists engineers interdisciplinary research environment biomedicine science engineering combining enrich profile academic enrich view world around us brink era network medicine novel approach potential revolutionize personalize treatment patients book focuses fundamental concepts essential developing successful network medicine approaches upcoming years hope enjoy reading book much enjoyed writing,editorial.json,72
preface,book broadly covers topic advances bioinformatics big data analysis emerging field research intersection biological computer science moreover biomedical bioinformatics emerging field study intersection information science computer science biology healthcare advances bioinformatics big data analytics new era brings tremendous opportunities challenges due readily available plenty bioinformatics data analysis bioinformatics big data aim cover huge increasing compound datasets currently focus nextgeneration sequencing technologies considerable expansion big biological data shows storage processing challenges predicting data analytics gather wealth data biomedical natural sources genetic mapping dna sequence helps understand human condition health disease leads curing diseases improving human health lives sustaining development precision methods healthcare various methods software developed field storing organizing understanding interpreting exponential amount biological data ultimately aims solve medical biology problems,editorial.json,120
editorial introduction towards machinic anthropology,bringing together motley crew social scientists data scientists aim special theme issue explore integration even fusion anthropology data science might look like going beyond existing work complementarity thick qualitative big quantitative data ambition unsettle push established disciplinary methodological epistemological boundaries creatively critically probing various computational methods augmenting automatizing collection processing analysis ethnographic data vice versa ethnographic qualitative data methods integrated natural language processing tools machinelearning techniques effect rise data science allow realization levistrauss old dream computational structuralism even might one even go far saying computers becoming agents social scientific analysis even thinking witness birth distinctly anthropological forms artificial intelligence exploring questions hope introduce scholars students computational anthropological methods also disrupt predominant norms assumptions among computational social scientists data science writ large,editorial.json,121
neuroscience scaffolded informatics raging interdisciplinary field,following breakthrough achievements molecular neurosciences current decade witnesses trend toward interdisciplinary multimodal development supplementation neurosciences tools computer science solidifies previous knowledge sets ground new research big data new hypothesisfree experimental models special issue set focus informaticssupported interdisciplinary neuroscience accomplishments symmetrically combining wetlab clinical routines videotracking automated mitosis detection vitro macromolecular modeling kinesin motion unsupervised classification brains macrophage activation status share common denominator energized machine deep learning essential clinical neuroscience questions estimated risk brain aneurysm rupture surgical outcome facial nerve transplantation addressed issue well precise rapid evaluation complex clinical data deep learning data mining dives deep reveal symmetrical asymmetrical features beyond abilities human perception limits linear algebraic modeling editorial opts motivate researchers wet lab computer science clinical environments join forces reshaping scientific platforms share converge highquality data public platforms use informatics facilitate interdisciplinary information exchange,editorial.json,134
mathematics finite element modeling computational friction contact mechanics 20212022,engineering practice structures identical components parts useful several points view less information needed describe system designs conceptualized quicker easier components made faster traditional complex assembly finally time needed achieve structure cost involved manufacturing decrease additionally subsequent maintenance system becomes easier cheaper aim special issue provide opportunity international researchers share review recent advances finite element modeling computational friction contact mechanics numerical modeling mathematics mechanical engineering computer science computers etc presents many challenges finite element method applied solid mechanics designed engineers simulate numerical models order reduce design costs prototypes tests measurements method initially validated measurements gave encouraging results discovery sobolev spaces abovementioned results obtained today numerous researchers working improving method applications method solid mechanics include mechanical engineering machine device design civil engineering aerospace automotive engineering robotics etc frictional contact complex phenomenon led research mechanical engineering computational contact mechanics composite material design rigid body dynamics robotics etc good simulation requires dynamics contact friction included formulation dynamic system approximation complex phenomena made solve linear nonlinear dynamic systems often nondifferentiable terms discontinuities software considers highperformance numerical methods computers high computing power needed special issue dedicated kind mechanical structure describing properties methods analysis structures discrete continuous structures static dynamic cases also considered additionally theoretical models mathematical methods numerical analysis systems finite element method experimental methods used studies machine building automotive aerospace civil engineering main areas applications appear also found engineering fields special issue want disseminate knowledge among researchers designers manufacturers users exciting field,editorial.json,237
introduction,lexicography neither new science new craft dictionaries existed hundreds years compiled meet practical needs example travelers needed lists words multiple languages time dictionaries also seen cultural artifacts conveying vision communitys language explains addition commercial objects dictionaries also studied linguists find treasure trove information language general vocabulary particular revival lexical studies past twentyfive years revolutionized art dictionarymaking dictionary analysis advent computer technology makes possible manipulate large amounts textual data store retrieve lexical information novel ways enabled linguists lexicographers question assumptions taken granted decades word senses really exist instance simply constructs oversimplifications come handy tend work best clearcut distinctions categories like classify distinct welldefined boxes account polysemy dictionaries kinds examples effective trying show word typically used lexicographers invent examples rather use real sentences excerpted large bodies running texts definitions structured written learners dictionaries dictionaries native speakers definiendum word defined included fullsentence definition definitions reserved limited number cases collocations identified corpora collocations represented monolingual bilingual dictionaries speed compilation dictionaries provide lexicographers tools enabling sort wheat chaff identify common typical instead blinded exceptional anomalous cases concordances kwic lines key word context routinely made available dictionary makers make sure lexicographer powerless person standing underneath niagara falls holding rainwater gauge evidence sweeps immeasurable torrents quote church et al 1994 153 world wide web enables us nearly instantaneously access billions words dozens languages still need dictionaries make sense words even still need lexicographers tap evidence extract lexicographically relevant facts distill dictionaries make sure dictionaries compile really meet users needs even know people use dictionaries help find way resources,editorial.json,251
plethora noncovalent interactions coordination organometallic chemistry modern smart tool materials science catalysis drugs design,noncovalent interactions one key topics coordination organometallic chemistry examples weak interactions hydrogen halogen chalcogen bonds stacking interactions metallophilic contacts etc noncovalent interactions play important role materials science catalysis medicinal chemistry aim special issue international journal molecular sciences entitled noncovalent interactions coordination organometallic chemistry cover recent progress rapidly growing field noncovalent interactions coordination organometallic chemistry experimental theoretical studies fundamental applied research types manuscripts welcome consideration,editorial.json,64
special issue soco 2020 new trends soft computing application industrial environmental problems,seven papers included special issue represent selection extended contributions presented 15th international conference soft computing models industrial environmental applications soco 2020 held burgos spain september 2020 organized university burgos bisite gicap research groups soco 2020 international conference represents collection set computational techniques machine learning computer science engineering disciplines investigate simulate analyse complex issues phenomena special issue aimed practitioners researchers postgraduate students engaged developing applying advanced intelligent systems principles solving realworld problems mentioned fields,editorial.json,73
multiphysics coupling exascale computing project,multiphysics coupling presents significant challenge terms computational accuracy performance achieving high performance coupled simulations particularly challenging highperformance computing context us department energy exascale computing project mission prepare missionrelevant applications delivery exascale computers starting 2023 many applications require multiphysics coupling implementations must performant exascale hardware special issue feature six articles performing advanced multiphysics coupling span computational science domains exascale computing project,editorial.json,60
